100000, 11.05, 0.07 
200000, 45.06, 0.12
300000, 112.09, 0.22
400000, 167.90, 0.25
500000, 272.54, 0.34
600000, 471.14, 0.38
700000, 603.46, 0.37
800000, 917.17, 0.47
900000, 954.13, 0.53
1000000, 1591.44, 0.62
1100000, 1287.88, 0.66
1200000, 1467.92, 0.73
1300000, 1739.30, 0.84
1400000, 2218.49, 0.81
1500000, 2363.83, 0.85

